DAY,영어,뜻
1,look forward to ~, ~을 기대하다
1,sunscreen,n. 자외선 차단제
1,prefer,v. 선호하다
1,prepare,v. 준비하다
1,pack,v. (짐)을 싸다
1,surely,adv. 분명히
1,field trip,n. 견학(여행)
1,location,"n. 장소, 위치"
1,traffic,"n. 교통(량), 차량"
1,rush hour,n. 교통 혼잡시간
1,set,v. (알람)을 맞추다
1,destination,n. 목적지
1,consider,v. 고려하다
1,budget ,n. 예산
1,arrange,v. 마련하다
1,accommodation,n. 숙소 
1,besides ,prep. ~ 외에도
1,identify ,"v. 찾다, 발견하다"
1,try ~ out,~을 시도해 보다
1,rappel,v. 밧줄을 타고 내려가다
1,exciting,a. 흥미진진한
1,dent,n. (부딪혀서) 움푹 들어간 부분
1,equipped with ~,~을 갖춘
1,protective ,a. 보호용의
1,gear,n. 장비
1,life jacket,n. 구명조끼
1,ride,n. 놀이기구
1,thrilling,"a. 긴장감 넘치는, 짜릿한"
1,reserve ,v. ~을 예약하다
1,can’t wait for ~ ,~을 몹시 기대하다
2,abroad,"adv. 해외에, 해외로"
2,adventure ,n. 모험
2,suit,v. ~에게 알맞다[편하다]
2,spectacular ,a. 장관을 이루는
2,edge,n. 가장자리
2,release ,v. 놓아주다
2,float ,v. 떠다니다
2,light,v. 불을 붙이다
2,come true ,"이루어지다, 실현되다"
2,hold ,v. 개최하다
2,celebration ,n. 기념행사
2,last ,v. 지속하다 
2,in addition to ~ ,~ 이외에도
2,temple ,n. 사원
2,monument ,n. (건물·동상 등의) 기념물
2,take place ,개최되다
2,lunar,a. 달의
2,solar ,a. 태양의
2,exact ,a. 정확한
2,head ,v. 향하다
2,exotic ,a. 이국적인
2,atmosphere ,n. 분위기
2,huge ,"a. 엄청난, 막대한"
2,selection ,n. 선택 가능한 것들
2,resident ,"n. 거주자, 주민"
2,recommendation ,"n. 추천, 권고"
2,chance ,n. 가능성 
2,seasoned ,a. 양념이 된
2,flat ,a. 편평한
2,out of this world ,"너무 훌륭한, 이 세상의 것이 아닌"
3,mixture ,"n. 혼합물, 혼합"
3,pour ,"v. 따르다, 붓다; 쏟아지다"
3,flavor ,"n. 맛, 풍미"
3,Refresh,v. 상쾌하게 하다
3,boost ,v. 높이다[북돋다]
3,set ~ up ,~을 준비하다[설치하다]
3,peak ,"n. 절정, 정점, 최고조"
3,Seeker,n. ~을 추구하는 사람
3,challenging ,a. 도전적인
3,canyoning ,"n. 계류타기, 급류타기 "
3,canyon ,n. 협곡
3,zip-lining ,n. 집라인 타기
3,rappelling ,n. 라펠링(줄 타고 내려오기)
3,naturally ,adv. (인공적이지 않고) 자연적으로
3,rocky ,a. 바위투성이의
3,a wide range of ~ ,아주 다양한 ~
3,pound ,v. 두근거리다
3,impressive ,"a. 인상적인, 인상 깊은"
3,spectacle ,n. 장관 
3,cliff ,n. 절벽
3,artificially ,adv. 인공적으로
3,lie down ,"눕다, 누워 있다"
3,slide ,v. 미끄러지다
3,pool ,n. 웅덩이
